Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.BioTradeMerchGDPShare;Biotrade: Trade as percentage of Gross Domestic Product - Annual (analytical);US_BioTradeMerchGDPShare;From 2010 to 2024;21748;Procesado;4;4;https://unctadstat-api.unctad.org/bulkdownload/US.BioTradeMerchGDPShare/US_BioTradeMerchGDPShare
UNCTADstat - UNCTAD;US.BiotradeMerchRCA;DISCONTINUED - Biotrade: Revealed Comparative Advantage index - Annual (analytical);US_BiotradeMerchRCA;From 2010 to 2024;20785250;Procesado;2635;2635;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerchRCA/US_BiotradeMerchRCA
UNCTADstat - UNCTAD;US.BioTradeMerchProdConcent;DISCONTINUED - Biotrade: Product concentration index - Annual (analytical);US_BioTradeMerchProdConcent;From 2010 to 2024;34933;Procesado;8;8;https://unctadstat-api.unctad.org/bulkdownload/US.BioTradeMerchProdConcent/US_BioTradeMerchProdConcent
UNCTADstat - UNCTAD;US.BioTradeMerchMarketIndices;DISCONTINUED - Biotrade: Market concentration and structural change indices - Annual (analytical);US_BioTradeMerchMarketIndices;From 2010 to 2024;623798;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BioTradeMerchMarketIndices/US_BioTradeMerchMarketIndices
UNCTADstat - UNCTAD;US.OceanTrade;Ocean goods: Bilateral trade by product group - Annual (analytical);US_OceanTrade;From 2012 to 2025;572108660;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.OceanTrade/US_OceanTrade
UNCTADstat - UNCTAD;US.OceanServices;Ocean services: Trade - Annual (analytical);US_OceanServices;From 2005 to 2025;422391;Procesado;178;374;https://unctadstat-api.unctad.org/bulkdownload/US.OceanServices/US_OceanServices
UNCTADstat - UNCTAD;US.NonPlasticSubstsTradeByPartner;Trade in non-plastic substitutes, annual (analytical);US_NonPlasticSubstsTradeByPartner;From 2005 to 2023;511626169;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.NonPlasticSubstsTradeByPartner/US_NonPlasticSubstsTradeByPartner
UNCTADstat - UNCTAD;US.PlasticsTradebyPartner;Plastics trade by partner, annual (analytical);US_PlasticsTradebyPartner;From 2005 to 2023;81455754;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.PlasticsTradebyPartner/US_PlasticsTradebyPartner
UNCTADstat - UNCTAD;US.AssociatedPlasticsTradebyPartner;Associated plastics trade by partner, annual (analytical);US_AssociatedPlasticsTradebyPartner;From 2005 to 2023;29490920;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.AssociatedPlasticsTradebyPartner/US_AssociatedPlasticsTradebyPartner
UNCTADstat - UNCTAD;US.HiddenPlasticsTradebyPartner;Spotlight on selected plastic trade trends, by partner (analytical);US_HiddenPlasticsTradebyPartner;From 2005 to 2023;49942922;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.HiddenPlasticsTradebyPartner/US_HiddenPlasticsTradebyPartner
