date,year,month,month_name,index_value,monthly_variation_pct,unit,frequency,source,source_url,fetched_at
2015-10-01,2015,10,Octubre,1951.3,11.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-11-01,2015,11,Noviembre,2168.5,11.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-12-01,2015,12,Diciembre,2357.9,8.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-01-01,2016,1,Enero,2576.5,9.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-02-01,2016,2,Febrero,2801.1,8.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-03-01,2016,3,Marzo,3096.2,10.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-04-01,2016,4,Abril,3541.6,14.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-05-01,2016,5,Mayo,4195.9,18.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-06-01,2016,6,Junio,5001.5,19.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-07-01,2016,7,Julio,5437.1,8.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-08-01,2016,8,Agosto,5825.7,7.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-09-01,2016,9,Septiembre,6364.4,9.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-10-01,2016,10,Octubre,6873.9,8.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-11-01,2016,11,Noviembre,7668.9,11.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2016-12-01,2016,12,Diciembre,8826.9,15.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-01-01,2017,1,Enero,10378.1,17.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-02-01,2017,2,Febrero,11697.2,12.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-03-01,2017,3,Marzo,12910.1,10.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-04-01,2017,4,Abril,13975.9,8.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-05-01,2017,5,Mayo,15610.4,11.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-06-01,2017,6,Junio,17537.8,12.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-07-01,2017,7,Julio,19938.2,13.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-08-01,2017,8,Agosto,23736.3,19.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-09-01,2017,9,Septiembre,29921.9,26.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-10-01,2017,10,Octubre,39473.9,31.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-11-01,2017,11,Noviembre,54611.0,38.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2017-12-01,2017,12,Diciembre,84970.3,55.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-01-01,2018,1,Enero,141060.9,66.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-02-01,2018,2,Febrero,204074.2,44.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-03-01,2018,3,Marzo,287622.2,40.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-04-01,2018,4,Abril,448124.0,55.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-05-01,2018,5,Mayo,942481.0,110.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-06-01,2018,6,Junio,1853869.6,96.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-07-01,2018,7,Julio,3362789.7,81.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2018-08-01,2018,8,Agosto,5919047.9,76.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
